,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,
PLANILLA DE MOLDES,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN NP,,,,,,,MOLDE,,,,,,CARTULINA,,,,TROQUELADO,,,,COMENTARIOS,PLANILLA,
INGRESO LAYOUT,NOMBRE DEL OPERADOR ,NP,CLIENTE ,RUBRO ,SOLICITUD ,FECHA DE ENTREGA ,FORMATO ,TIRAJE ,STATUS ,NP ANTIGUA ,NP ORIGEN ,CODIGO DE MOLDE ,SUSTRATO ,GRAMAJE ,EMPLACADO ,LAMINADO ,TROQUELADO ,PINZA ,SEPARACION ,EXTRAS ,,LAYOUT,MOLDE 
04/06/20,________,13851,SALMONES MULTIEXPORT ,,_____________,24/06/20,1160X750,24.000,MOLDE NUEVO,________,________,,CARTA ELEGA ,380 GRS,________________________,________,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,________,,OK,OK
04/06/20,________,13852,SYNTHON ,,_____________,10/06/20,500 X360 ,2.100,MOLDE NUEVO,________,________,,CARTA DEDICA ,255 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
05/06/20,________,13842,RECALCINE ,,_____________,23/06/20,840X750/840X560,18.100,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,255 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
05/06/20,________,13853,FRUSELVA ,,_____________,22/06/20,1210X700,49.900,HAY MOLDE,13395,________,,CARTA DEDICA ,345 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
08/06/20,________,13856,DENTAID ,,_____________,03/08/20,840X480,8.100,MOLDE NUEVO,________,________,,AVANTA PRIMA RB ,220 GRS,________________________,________,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,________,,OK,OK
08/06/20,________,13857,CAROZZI ,,_____________,19/06/20,1230 X870,46.000,MOLDE NUEVO,________,________,,MB PRO FSB ,265 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
08/06/20,________,13859,DENTAID ,,_____________,22/06/20,1310X710,20.800,HAY MOLDE,13331,________,,MB PRO FSB ,245 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
09/06/20,________,13859,DENTAID ,,_____________,03/07/20,840X530 ,18.700,HAY MOLDE,13331,________,,AVANTA PRIMA RB ,220 GRS,________________________,________,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,BRAILE,,OK,OK
09/06/20,________,13860,DENTAID ,,_____________,03/07/20,840X520,25.800,HAY MOLDE,13332,________,,AVANTA PRIMA RB ,220 GRS,________________________,________,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,BRAILE,,OK,OK
09/06/20,________,13861,CAROZZI ,,_____________,06/07/20,1010X680,9.400,HAY MOLDE,12520,________,,MB PRO FSB ,265 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
10/06/20,________,13858,DAVIS ,,_____________,26/06/20,980X680,12.700,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,295 GRS,________________________,________,TROQUELADO,_____,_____________,FOLIA Y RELIEVE,,OK,OK
10/06/20,________,13862,SUPERFRUIT ,,_____________,30/06/20,690X970,57.500,HAY MOLDE,13829,________,,FORTRESS CS 18 PT CC,385 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,,OK,OK
10/06/20,________,13863,CHILE ,,_____________,23/06/20,770X670,11.500,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,255 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
11/06/20,________,13865,CHILE ,,_____________,30/06/20,800X490,4.200,HAY MOLDE,6531,________,,CARTA SOLIDA RB,295 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
11/06/20,________,13868,SAVAL ,,_____________,18/06/20,800X580/800X400,13.700,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
11/06/20,________,13871,NOVARTIS ,,_____________,12/06/20,500 X350,900,MOLDE NUEVO,________,________,,FASSCOVER NEGRO,________,________________________,________,TROQUELADO CON MEDIO CORTE,_____,_____________,________,,OK,OK
12/06/20,________,13864,CHILE ,,_____________,23/06/20,700X850,11.700,MOLDE NUEVO,________,________,,MAULE RC ,295 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
12/06/20,________,13866,VALMA ,,_____________,29/06/20,650X820,11.100,MOLDE NUEVO,________,________,,MB PRO FSB ,265 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
12/06/20,________,13867,DP ALIMENTOS ,,_____________,29/06/20,1230 X690,17.500,MOLDE NUEVO,________,________,,STORA CKB KARNEOLI,325 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
12/06/20,________,13870,FRUSELVA ,,_____________,29/06/20,360 X720,7.100,MOLDE NUEVO,________,________,,AVANTA PRIMA RB ,355 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
12/06/20,________,13872,CAROZZI ,,_____________,28/07/20,770X520,19.000,HAY MOLDE,12589,________,,MB PRO FSB ,290 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
12/06/20,________,13874,SOUTH WIND ,,_____________,10/07/20,800X520,27.000,HAY MOLDE,13373,________,,CARTA DEDICA ,345 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13873,DESFAR ,,_____________,30/06/20,800X590,5.700,HAY MOLDE,12153,________,,CG2 C-BOARD R-CR,230 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13875,INVERMAR ,,_____________,22/06/20,1040X1280 ,21.500,HAY MOLDE,10438,________,,MB PRO FSB ,290 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13876,SALMONES MULTIEXPORT ,,_____________,10/07/20,1000X720,12.000,HAY MOLDE,13802,________,,KLABIN KLAMULTI W3,358 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13877,SALMONES MULTIEXPORT ,,_____________,10/07/20,1250 X980,30.000,MOLDE NUEVO,________,________,,MB PRO FSB ,290 GRS,________________________,________,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,________,,OK,OK
15/06/20,________,13878,SALMONES MULTIEXPORT ,,_____________,10/07/20,920X540,20.500,HAY MOLDE,13368,________,,CARTA ELEGA ,380 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13879,VIÑA LA ROSA ,,_____________,10/07/20,1010X910,52.000,HAY MOLDE,12753,________,,VALDIVIA RC,190 GRS,MICRO CORRUGADO ONDA E,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13880,NOVARTIS ,,_____________,17/06/20,500 X360 ,800,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13881,NOVARTIS ,,_____________,17/06/20,500 X360 ,700,HAY MOLDE,13880,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
15/06/20,________,13882,NOVARTIS ,,_____________,17/06/20,350X500 ,100,MOLDE NUEVO,________,________,,FASSCOVER NEGRO,________,________________________,________,TROQUELADO CON MEDIO CORTE,_____,_____________,________,,OK,OK
15/06/20,________,13884,DAVIS ,,_____________,22/06/20,600X860,2.200,HAY MOLDE,13762,________,,CARTA DEDICA ,315 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
16/06/20,________,13885,FIBROSONOCO ,,_____________,30/06/20,750X920,6.200,HAY MOLDE,13703,________,,FROZEN CUP RB,380 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,,OK,OK
16/06/20,________,13887,SYNTHON ,,_____________,25/06/20,770X640,9.400,HAY MOLDE,13657,________,,CM REAL RB ,295 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
17/06/20,________,13889,PAPA JOHNS ,,_____________,26/06/20,1280 X980/1280 X710,85.900,MOLDE NUEVO,________,________,,MB NATURAL FBB 2PE ,294 GRS/349 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
17/06/20,________,13890,PESQUERA ,,_____________,30/06/20,1310X910,5.800,HAY MOLDE,13489,________,,CARTA DEDICA ,255 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,,OK,OK
17/06/20,________,13893,COLLICO ,,_____________,02/07/20,970X570,18.300,MOLDE NUEVO,________,________,,CARTA DEDICA ,265 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
17/06/20,________,13894,TRENDY ,,_____________,27/07/20,1010X840,52.000,HAY MOLDE,13456,________,,MAULE RC ,345 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
18/06/20,________,13891,MEDIPHARM/EUROFARMA ,,_____________,30/06/20,890X750/890X490,40.000,MOLDE NUEVO,________,________,,CARTA DEDICA ,255 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
18/06/20,________,13895,MEDIPHARM/EUROFARMA ,,_____________,30/06/20,1040X720/1040X460,14.400,MOLDE NUEVO,________,________,,CARTA DEDICA ,290 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
18/06/20,________,13900,BLUNDING ,,_____________,26/06/20,660X350,6.000,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,320 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
18/06/20,________,13901,NOVARTIS,,_____________,02/07/20,500 X360 ,1.000,HAY MOLDE,13366,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
19/06/20,________,13902,TARAPACA ,,_____________,17/07/20,800X570,10.000,HAY MOLDE,13336,________,,MB PRO FSB ,220 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
19/06/20,________,13903,ELANCO ,,_____________,29/06/20,660X360 ,600,MOLDE NUEVO,________,________,,FASSCOVER NEGRO,________,________________________,________,TROQUELADO CON MEDIO CORTE,_____,_____________,________,,OK,OK
19/06/20,________,13904,ELANCO ,,_____________,29/06/20,350X500 ,400,MOLDE NUEVO,________,________,,FASSCOVER NEGRO,________,________________________,________,TROQUELADO CON MEDIO CORTE,_____,_____________,________,,OK,OK
22/06/20,________,13907,DACCARETT Y CIA LTDA,,_____________,30/06/20,1060X750 / 1060X420,25.200,MOLDE NUEVO,________,________,,MB PRO FSB ,290 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
23/06/20,________,13908,DACCARETT Y CIA LTDA,,_____________,07/07/20,960X740,15.100,MOLDE NUEVO,________,________,,PRO FBB OBA (CARTA DEDICA) RB,290 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
23/06/20,________,13909,VIÑA SAN PEDRO TARAPACA,,_____________,20/07/20,1020X450,800,MOLDE NUEVO,________,13909,,CARTA ELEGA ,380 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
23/06/20,________,13910,VIÑA SAN PEDRO TARAPACA,,_____________,20/07/20,980X680,18.400,HAY MOLDE,11725,________,,CARTA ELEGA ,380 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
24/06/20,________,13911,DIAGEO,,_____________,01/07/20,830X720,22.800,MOLDE NUEVO,________,13911,,STORA CKB KARNEOLI,250 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
24/06/20,________,13913,SYNTHON ,,_____________,30/06/20,530 X420,1.900,HAY MOLDE,12562,________,,PRO FBB BRIGHT (CARTA SOLIDA) RB,255 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
24/06/20,________,13914,CHILEXPRESS,,_____________,20/07/20,900X550,36.750,MOLDE NUEVO,________,13914,,CMPC RC,235 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
24/06/20,________,13915,CHILEXPRESS,,_____________,20/07/20,900X550,31.500,MOLDE NUEVO,________,13915,,CMPC RC,235 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
25/06/20,________,13917,RECALCINE ,,_____________,02/07/20,357X497,3.600,HAY MOLDE,12664,________,,PRO FBB BRIGHT (CARTA SOLIDA) RB,295 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
25/06/20,________,13920,NOVARTIS ,,_____________,30/06/20,360 X800,3.000,MOLDE NUEVO,________,________,,PRO FBB BRIGHT (CARTA SOLIDA) RB,260 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
26/06/20,________,13918,ABBVIE ,,_____________,07/07/20,420X550,1.000,MOLDE NUEVO,________,________,,PRO FBB OBA (CARTA DEDICA) RB,290 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
26/06/20,________,13923,DOLE,,_____________,09/07/20,116X94,4.900,HAY MOLDE,13670,________,,KOTKA AEGLO PRO (CG2) ,260 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
26/06/20,________,13924,AGRICOLA TARAPACA,,_____________,09/07/20,800X570,4.000,HAY MOLDE,13336,________,,AVANTA PRIMA RB ,220 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
30/06/20,________,13916,SAN PEDRO ,,_____________,20/07/20,1020X450,4.800,MOLDE NUEVO,________,________,,CARTA ELEGA ,380 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
30/06/20,________,13919,RECALCINE ,,_____________,09/07/20,8940X750/840X420,11.900,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,255 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
30/06/20,________,13922,RECALCINE ,,_____________,14/07/20,800X670/800X420,10.600,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
30/06/20,________,13925,SAN PEDRO ,,_____________,20/07/20,940X720,40.700,MOLDE NUEVO,________,________,,GPI EVEREST RB,500 GRS,________________________,________,TROQUELADO,_____,_____________,FOLIA Y RELIEVE,,OK,OK
